;218
dois;108
segundo;108
sobre;108
anos;107
maior;107
pode;106
três;105
deve;104
brasil;103
cerca;103
grande;103
duas;102
final;102
outros;102
paulo;102
caso;101
durante;101
parte;101
passado;101
país;101
primeira;101
todos;101
contra;100
fazer;100
milhões;100
semana;100
desde;99
dias;99
grupo;98
partir;98
sendo;98
cinco;96
pessoas;96
último;96
cada;95
nova;95
novo;95
quatro;95
forma;94
outras;94
tempo;94
todas;94
após;93
carlos;93
feito;93
lado;93
trabalho;93
alguns;92
cidade;92
devem;92
diretor;91
melhor;91
mundo;91
número;91
apesar;90
exemplo;90
presidente;90
principal;90
qualquer;90
seis;90
dinheiro;89
estado;89
estados;89
local;89
meses;89
nacional;89
próximo;89
casa;88
empresa;88
havia;88
janeiro;88
quer;88
acordo;87
conta;87
folha;87
podem;87
vezes;87
afirma;86
média;86
problemas;86
programa;86
tipo;86
fica;85
governo;85
internacional;85
problema;85
relação;85
enquanto;84
josé;84
lugar;84
nome;84
possível;84
principais;84
segunda;84
vários;84
brasileira;83
brasileiro;83
estar;83
ficou;83
início;83
público;83
sido;83
sistema;83
começou;82
falta;82
ficar;82
filho;82
região;82
área;82
especial;81
preço;81
resultado;81
centro;80
grandes;80
mesma;80
mostra;80
novos;80
passada;80
produção;80
toda;80
última;80
últimos;80
algumas;79
frente;79
maioria;79
países;79
porém;79
hora;78
mercado;78
passa;78
poder;78
processo;78
real;78
vida;78
chegar;77
história;77
maiores;77
noite;77
ponto;77
capital;76
feita;76
próprio;76
importante;75
objetivo;75
passou;75
período;75
situação;75
direito;74
informações;74
muitos;74
norte;74
pesquisa;74
política;74
próxima;74
alta;73
banco;73
causa;73
chegou;73
começa;73
dados;73
dezembro;73
fazem;73
geral;73
horas;73
junto;73
mundial;73
poderá;73
valor;73
afirmou;72
apoio;72
criação;72
entrada;72
equipe;72
levar;72
momento;72
novas;72
plano;72
principalmente;72
sete;72
total;72
várias;72
acontece;71
ação;71
brasileiros;71
empresas;71
federal;71
idéia;71
joão;71
ninguém;71
papel;71
pontos;71
roberto;71
setor;71
venda;71
volta;71
1993;70
campanha;70
campo;70
embora;70
manter;70
paulista;70
pretende;70
produtos;70
recursos;70
saber;70
unidos;70
antonio;69
associação;69
atual;69
conseguiu;69
controle;69
cultura;69
domingo;69
encontrar;69
entrar;69
poderia;69
pois;69
projeto;69
rede;69
aumento;68
decisão;68
direção;68
fato;68
internacionais;68
maio;68
março;68
medida;68
milhão;68
preciso;68
preços;68
primeiros;68
responsável;68
criar;67
deixar;67
desenvolvimento;67
