+------------+--------------+-----------------+--------------+------------------+-------------+-------------+--------------+--------------+---------------+--------------+-------------+-------------+---------------+-------------------+--------------+---------------+---------------+----------------+------------+
|   Topic0   |    Topic1    |      Topic2     |    Topic3    |      Topic4      |    Topic5   |    Topic6   |    Topic7    |    Topic8    |     Topic9    |   Topic10    |   Topic11   |   Topic12   |    Topic13    |      Topic14      |   Topic15    |    Topic16    |    Topic17    |    Topic18     |  Topic19   |
+------------+--------------+-----------------+--------------+------------------+-------------+-------------+--------------+--------------+---------------+--------------+-------------+-------------+---------------+-------------------+--------------+---------------+---------------+----------------+------------+
|   página   |    premiê    | norte-americana |    poesia    |      mais!       |   perpétua  |     otan    |    terror    |    avião     |    ieltsin    |     ruiz     |    poeta    |  espanhóis  |     mais!     |      fujimori     |   cubanos    |     balsa     |    reynolds   |   católicos    |  tradução  |
|  editoria  |   sérvios    |      milão      |    poemas    |     expulsa      | protestante |  palestina  |    tropas    |     papa     |     bósnia    |   chiapas    |    berlim   |  orgulhoso  |      ódio     | primeiro-ministro |    poema     |   britânicos  |      tel.     |     duran      |   mestre   |
|   sobre    |     2-10     |     sombras     |   american   |      caças       |    adams    |  refugiados |    nixon     |    bomba     | primeira-dama |   zedillo    |   explodiu  |  interessar |    jandira    |        otan       |    russos    |     raoul     |     rocco     |   prometido    |  clareza   |
|    anos    |  muçulmanos  |     triunfo     |     6-13     |       lage       | modernidade |     fein    |  chanceler   |   ensaios    |    intenção   |   sérvios    |   irlandês  |     leon    |    buchada    |        balé       |   irlandês   |    erotismo   |    benjamin   |  sentimentos   | incomodar  |
|   mundo    |   caldera    |    franceses    |    street    |    atmosfera     |    ballet   |     sinn    |    golfo     |   chinesa    |   whitewater  |  ex-premiê   |    dublin   |  antologia  |    religião   |       trakl       |  escritores  |  nacionalismo |    filósofo   |    orgulho     |  músicos   |
|  governo   |  palestinos  |      luigi      |     6-14     |     sarajevo     |    georg    |   secreto   |   science    |   humanas    |     egito     |   colosio    |    helmut   |  montanhas  |    rejeitam   |       freud       |   benetton   |  nacionalista |     fóssil    |     susto      |  poderoso  |
|    país    |   hillary    |    espetáculo   |   paisagem   |      líbano      |   bolívar   |  livrarias  |   cúmplice   |  concepção   |    heroína    | documentário |   benetton  |  moralmente |   guarnieri   |     albaneses     |   chicago    |     arena     |     idioma    |    encarar     | emocional  |
|    dois    |   belfast    |      vidas      |    aliada    |      argel       |    lorena   |   fujimori  |    rubio     |    atores    |    racismo    |  jirinovski  |  cunningham |    diabos   |      rasi     |     cingapura     |   sensação   |    gangues    |    modesto    |  republicano   |  cansado   |
| presidente |  israelense  |     basquete    | especulações |      sérvia      |  dramático  | terroristas |    laços     |  culturais   |  protestantes |   estonia    |    perdi    |   protetor  | gianfrancesco |       poetas      |   nápoles    |     drama     |     ascher    |   fidelidade   |   esfera   |
|  segundo   | israelenses  |     negociam    |   derruba    |   terroristas    |    atacam   |  palestinos |   colorado   |     1974     |     warren    |    louis     |    raiva    | coreografia |    instante   |       judeu       |   charles    | originalidade |   filósofos   |   indicações   |   freud    |
|  pessoas   | protestantes |    lentamente   |  partículas  |     haroldo      | terroristas |   cruzando  |     2-10     |  incidentes  |     jericó    |   príncipe   |     lyon    |    deuses   |     babel     |      paradoxo     |    árabes    |   cavalcanti  |    mutações   |    desperta    |   músico   |
|   contra   |    arafat    |      luzes      |    still     |    violações     |     2-10    |  jirinovski |    press     | protestantes |   palestinos  |    arafat    |  represália |  dinamarca  |   históricas  |    coreografia    |    disco     |   universais  |    ocidente   |    decretar    |   pequim   |
|    pode    |   sarajevo   |      viaja      |   jornada    |      freud       |   bobbitt   |  imaginação |  histórias   |  criminosos  |  compreender  |    crânio    | protestaram |    martin   |     exato     |      salinas      |    grego     |   escritora   |    poética    |   atualidade   |   viana    |
|   brasil   |    cedras    |    distantes    | ilustrações  |      sérvio      |   destrói   |     2-10    |  poderosos   |    vidro     |   católicos   |     1912     |   expulsos  |    stern    |   muçulmana   |      balladur     |    george    |   espectador  | nacionalistas | sequestradores | balanchine |
|   livro    |    iasser    |   criatividade  |  multimídia  |     sérvios      |  bailarinos |     kohl    |   cristãos   |  obrigados   |    convida    |   gortari    |    araras   |  destruído  |    islâmico   |      galáxia      |  iugoslávia  |      1948     |  psicanalista |    estende     |   versos   |
|   outros   |  embaixada   |     vencidos    |   infinito   |     islâmico     |    trisha   |    premiê   | protestantes |     2-10     |     míssil    |    reabre    |     lema    |   realista  |     plínio    |       imago       |    amante    |   religiosos  |  científicas  |    ousadia     | neurônios  |
|    nova    |  atentados   |    extermínio   |    cd-rom    | fundamentalistas |  celebrada  |    teerã    |  ancestrais  |  violentos   |    escravos   |  palestinos  |     1971    |     1953    |    tornado    |      airlines     | sul-africano |   encenação   |    sectária   |     exibe      |  prefiro   |
|   paulo    |  católicos   |     fazerem     |  reabertura  |      carter      |   salinas   |    herald   |    poemas    |  assistiram  |     autora    |    perry     |    esboço   |    ombros   |     pietro    |     catástrofe    |    treino    |    leituras   |    fósseis    |   semanário    |   tribo    |
|    três    |    matam     |     abstrato    |  distinção   |      carlo       |  balanchine |    arafat   |    bruxas    |    louco     |     latino    |  pentágono   |   talento   |   peculiar  |     london    |     artilharia    |    menem     |     convém    |     france    |      camp      |  aprendeu  |
|   desde    |     kohl     |     secreta     |   formato    |      bósnio      |  dançarinos |   belfast   |  proteínas   |  enterrado   | contemporânea | narcotráfico |  disparado  |    morris   |   elegância   |      romances     |  britânicos  |   traduções   |      sons     |     farsa      |  gráfico   |
+------------+--------------+-----------------+--------------+------------------+-------------+-------------+--------------+--------------+---------------+--------------+-------------+-------------+---------------+-------------------+--------------+---------------+---------------+----------------+------------+
