;492
casa;110
tempo;94
coisa;83
dois;82
olhos;73
vida;64
moça;63
amor;61
homem;61
dizer;59
todos;59
coração;56
mulher;56
alguma;54
anos;53
dias;52
duas;51
noite;49
pode;49
alguns;48
amigo;47
fazer;47
verdade;47
melhor;44
carta;43
espírito;42
idéia;42
podia;42
sobre;42
grande;40
havia;40
senhor;40
toda;40
vezes;40
outros;39
velho;39
parece;38
parte;37
todas;37
caso;36
coisas;36
marido;36
palavras;36
pois;36
mundo;35
nome;35
alma;34
deus;34
dizia;34
respondeu;34
filha;33
livro;33
morte;33
poeta;33
sala;33
três;33
algum;32
algumas;32
casamento;32
perguntou;32
porta;32
creio;31
mesma;31
rapaz;31
senhora;31
filho;30
modo;30
outras;30
primeira;30
quer;30
mãos;29
ninguém;29
deste;28
ficou;28
hora;28
saber;28
porém;27
razão;27
horas;26
olhar;26
posso;26
desde;25
falar;25
família;25
homens;25
lado;25
palavra;25
parecia;25
ponto;25
preciso;25
cabeça;24
pessoa;24
quatro;24
sabe;24
triste;24
ambos;23
cada;23
desta;23
entrou;23
jantar;23
joão;23
nenhuma;23
obra;23
pobre;23
resposta;23
terra;23
contra;22
dava;22
lugar;22
novo;22
ocasião;22
pessoas;22
simples;22
achou;21
cartas;21
causa;21
digo;21
gente;21
gosto;21
lágrimas;21
maior;21
nova;21
próprio;21
queria;21
saiu;21
veio;21
amigos;20
cena;20
chegou;20
cinco;20
comigo;20
efeito;20
gesto;20
história;20
janela;20
minutos;20
muita;20
nenhum;20
notícia;20
qualquer;20
seguinte;20
situação;20
viúva;20
cidade;19
devia;19
durante;19
entrar;19
josé;19
mesa;19
natural;19
natureza;19
ouvir;19
papel;19
sabia;19
teatro;19
vontade;19
deixou;18
dizendo;18
enquanto;18
fazia;18
felicidade;18
leitor;18
meia;18
padre;18
pareceu;18
passado;18
política;18
princípio;18
quero;18
quis;18
rosto;18
sair;18
silêncio;18
última;18
caminho;17
casar;17
continuou;17
deve;17
entretanto;17
estar;17
força;17
meses;17
moço;17
médico;17
naturalmente;17
ouviu;17
passo;17
pôde;17
trabalho;17
vinha;17
vinte;17
achava;16
autor;16
chão;16
consigo;16
embora;16
falava;16
manhã;16
muitas;16
neste;16
passou;16
resto;16
vamos;16
versos;16
voltou;16
amiga;15
bela;15
certa;15
começou;15
ficar;15
figura;15
flor;15
grandes;15
idéias;15
luís;15
maria;15
pena;15
própria;15
sangue;15
segundo;15
sentimento;15
viagem;15
acabou;14
alegre;14
alegria;14
boca;14
braços;14
criança;14
disso;14
esperança;14
falou;14
feliz;14
janeiro;14
muitos;14
naquele;14
nesse;14
passar;14
povo;14
respeito;14
tais;14
arte;13
câmara;13
daquela;13
daquele;13
desejo;13
dinheiro;13
estado;13
expressão;13
futuro;13
graça;13
haver;13
justamente;13
levantou;13
morrer;13
motivo;13
olhou;13
opinião;13
possível;13
réis;13
sorriso;13
trazia;13
velha;13
abriu;12
apesar;12
carro;12
contos;12
crer;12
depressa;12
desse;12
direito;12
dúvida;12
exemplo;12
ficava;12
maneira;12
ministro;12
naquela;12
ordem;12
paixão;12
pedro;12
primeiros;12
quarto;12
sociedade;12
achar;11
atenção;11
concluiu;11
costume;11
deixar;11
diabo;11
doente;11
falta;11
grave;11
impossível;11
instantes;11
irmão;11
medo;11
memória;11
pediu;11
público;11
segunda;11
sentia;11
último;11
alguém;10
alto;10
asas;10
baile;10
basta;10
cabo;10
carlota;10
consciência;10
contrário;10
conversa;10
coronel;10
corte;10
dali;10
diga;10
doce;10
escola;10
espécie;10
fala;10
feito;10
fica;10
flores;10
fundo;10
idade;10
intenção;10
interesse;10
longo;10
movimento;10
necessidade;10
ouvi;10
passos;10
pegou;10
poesia;10
poucos;10
prima;10
recebeu;10
santa;10
seis;10
semana;10
sentiu;10
tempos;10
tendo;10
tornou;10
vista;10
visto;10
aliás;9
andar;9
assunto;9
ação;9
beleza;9
cadeira;9
cair;9
cama;9
cecília;9
chapéu;9
cima;9
corpo;9
destino;9
discurso;9
dito;9
escrever;9
espaço;9
fato;9
glória;9
igreja;9
jardim;9
livros;9
luísa;9
lábios;9
língua;9
moral;9
mulheres;9
oito;9
país;9
pensamento;9
peça;9
posto;9
