;4000
film;1753
time;1258
would;1135
well;1080
character;1047
characters;965
little;921
director;898
really;867
best;854
people;854
films;830
life;826
another;795
scene;789
scenes;775
made;758
know;752
movies;735
back;731
something;723
makes;720
work;720
still;706
great;697
seems;686
around;684
better;683
take;674
every;672
enough;667
love;656
however;655
gets;652
though;638
audience;637
long;637
seen;634
going;633
real;623
year;612
role;611
look;610
years;609
world;604
come;598
things;594
performance;593
nothing;592
right;592
almost;589
think;589
thing;588
plays;586
fact;585
comes;581
ever;581
find;579
actually;575
action;572
since;558
screen;555
cast;553
played;550
script;547
without;537
takes;536
acting;534
part;531
least;530
although;528
goes;520
actors;519
away;516
young;508
comedy;505
funny;505
point;503
anything;499
course;496
might;495
making;491
must;485
interesting;482
minutes;482
quite;476
rather;474
place;473
john;470
three;469
show;467
watch;467
star;460
instead;455
times;455
give;450
want;448
hard;447
seem;446
along;444
trying;441
help;433
didn;430
together;428
high;427
probably;424
original;421
actor;419
sure;416
becomes;414
kind;414
watching;414
become;412
sense;408
given;403
home;402
everything;401
dialogue;397
wife;396
picture;395
pretty;395
whole;392
half;391
hollywood;390
feel;387
gives;387
looking;387
everyone;383
wants;378
woman;378
done;377
especially;374
perhaps;373
less;370
performances;370
mind;369
rest;369
special;367
anyone;366
next;366
left;365
whose;364
family;363
looks;363
reason;362
line;360
money;359
effects;357
completely;354
written;347
moments;344
based;342
different;342
small;342
american;341
soon;341
stars;338
turns;338
father;337
getting;337
night;337
someone;336
several;335
shows;334
thought;334
play;333
later;332
main;330
name;330
either;329
entire;329
found;329
unfortunately;329
problem;328
simply;328
second;327
called;323
full;322
begins;321
series;321
true;321
keep;317
couple;316
friend;315
head;315
tries;315
case;314
dead;313
wrong;313
girl;311
idea;311
music;311
used;311
behind;309
works;309
turn;308
hand;304
death;303
playing;302
believe;299
ending;298
james;298
black;297
face;297
human;297
often;297
certainly;295
final;295
finally;295
named;294
seeing;294
said;292
live;291
able;290
directed;290
humor;290
lost;289
tell;286
including;284
friends;282
person;282
side;282
finds;281
past;281
style;280
despite;279
mother;276
matter;274
start;274
running;273
worth;273
michael;272
hour;271
maybe;271
comic;270
relationship;270
nice;269
sequence;269
short;269
group;268
lines;268
moment;267
need;266
starts;265
writer;265
david;264
nearly;264
exactly;263
example;263
throughout;263
lives;262
shot;262
already;261
camera;259
care;259
evil;259
entertaining;258
title;258
perfect;257
supposed;256
direction;255
obvious;255
early;253
house;253
opening;251
others;251
days;250
sequences;249
self;248
city;247
known;247
supporting;247
wasn;247
upon;246
major;245
roles;245
school;245
production;244
knows;243
ends;241
question;241
sort;241
screenplay;240
fine;239
problems;239
aren;238
close;238
coming;238
order;238
video;238
worst;238
drama;236
horror;234
simple;233
classic;232
stop;231
beginning;230
eyes;230
save;230
truly;230
attempt;229
lead;228
heart;227
hope;226
four;225
strong;224
town;224
beautiful;223
five;223
level;223
happens;222
manages;222
tells;222
kill;221
late;221
body;220
white;220
book;219
kids;219
mostly;219
possible;219
quickly;219
says;219
fall;218
wonder;218
boring;217
children;217
particularly;217
violence;216
falls;215
attention;214
dark;214
note;214
piece;214
fight;213
involved;213
single;213
career;212
guys;212
room;212
sets;212
summer;212
appears;211
involving;211
experience;210
extremely;210
interest;210
women;210
genre;209
lack;209
leads;209
sometimes;209
mean;208
obviously;208
worse;208
bring;207
version;207
hours;206
material;206
taking;206
daughter;205
eventually;204
laugh;202
result;201
taken;201
thriller;201
elements;200
child;199
enjoy;199
leave;199
living;199
usually;199
word;198
except;197
game;197
needs;197
sound;197
across;196
among;196
talent;196
robert;195
team;195
giving;194
hero;194
recent;194
stupid;194
whether;194
working;194
guess;193
alone;192
attempts;192
chance;192
power;192
forced;191
light;191
feature;189
voice;189
deal;188
expect;188
peter;188
turned;188
feeling;187
feels;187
hell;187
success;187
words;187
easy;186
tale;186
brings;185
emotional;185
entertainment;185
happen;185
meet;185
serious;185
talk;185
theater;185
call;184
earth;184
happy;184
police;184
surprise;184
within;184
apparently;183
form;183
impressive;183
laughs;183
meets;183
oscar;183
told;183
easily;182
future;182
near;182
number;182
wouldn;182
girlfriend;181
jokes;181
premise;181
runs;181
important;180
murder;180
parts;180
surprisingly;180
killed;179
poor;179
stuff;179
certain;178
change;178
complete;178
type;178
brother;177
deep;177
seemed;177
slow;177
straight;177
credits;176
hilarious;176
using;176
anyway;175
begin;175
decides;175
difficult;175
local;175
novel;175
released;175
basically;174
features;174
remember;174
score;174
somehow;174
wonderful;174
writing;174
couldn;173
fast;173
viewer;173
minute;172
uses;172
went;172
gone;171
husband;171
release;171
effective;169
kevin;169
leaves;169
came;168
history;168
paul;168
successful;168
talking;168
ways;168
events;167
figure;167
follow;167
office;167
opens;167
