+------------+--------------+-------------+--------------+------------+------------+------------+------------+-------------+----------+
|   Topic0   |    Topic1    |    Topic2   |    Topic3    |   Topic4   |   Topic5   |   Topic6   |   Topic7   |    Topic8   |  Topic9  |
+------------+--------------+-------------+--------------+------------+------------+------------+------------+-------------+----------+
|   marie    |   greatest   |    glory    |   lebowski   |   murphy   |    gere    |    epic    |    film    |    lucas    |  truman  |
|   angela   |   portrait   |    walter   |  broderick   |  stillman  |  attorney  |    jake    |    time    |     jedi    | burbank  |
| australian |     lucy     |   scorsese  |   bowling    |  invasion  |   derek    | ambitious  |    well    |    anakin   |  niccol  |
|    mate    |    aaron     |    frank    |   buscemi    | marvelous  |   slave    |  portman   |   films    | astonishing |  shaft   |
|   church   |    lounge    |    karen    |     coen     | australia  |  wahlberg  |  natalie   | character  |   knights   | colored  |
|   exotic   |    neeson    |    miller   |    dating    |   reese    | friendship |   pacino   |   would    |   daniels   | charles  |
|  ireland   |  bowfinger   |    scored   |    redman    |    gory    |    lucy    |   voiced   |    life    |     matt    | motives  |
|   castle   |     mary     |   airplane  |    racism    |   multi    | adaptation |   naive    |   people   |   amidala   | cromwell |
|   emily    |    cheek     |     shaw    | sentimental  |   donny    |    phil    | suspicion  | characters |   uniforms  | creator  |
|    host    |    pride     |    palma    |    bunny     | carefully  |    nazi    |  sevigny   |   movies   |    cusack   | fabulous |
|  releases  |     liam     |   serving   |    weight    |   shine    | anastasia  | kidnappers |   really   |    naboo    |  philip  |
|    copy    |     lake     |     lama    |  confident   | commanding |   ramsey   | charlotte  |    best    |  perfection | gattaca  |
|   pupil    |   federal    |   scarface  |    creeps    |    firm    |  coppola   | idealistic |   little   |   picking   | idyllic  |
|   peace    |  groundhog   |   spending  | witherspoon  |   finely   |   report   |   desert   |    john    |   handsome  | mitchell |
|  reynolds  |    jimmy     | charismatic | accompanying | apprentice |   cards    |  patterns  |  however   |   galactic  | despair  |
|   nights   |   landing    |    hills    |    bound     |  cultural  |   memory   |  striking  |   world    |    libby    |   gere   |
| henstridge | surroundings |   reminder  |   montana    |   dramas   |   chaos    | conditions |    made    |   florida   |   ford   |
|   claude   |   colorful   |  strongest  |  redemption  |    loss    |  valjean   |  repeated  |   scene    |    empire   |   nail   |
|   breed    |    month     |  defending  |   destined   | producing  |    hong    |   purely   |   great    |    darth    | educated |
|   slick    |    robots    |    sixth    |    bowler    |    kiki    |    kong    |    andy    |   makes    |   freedom   |  prime   |
+------------+--------------+-------------+--------------+------------+------------+------------+------------+-------------+----------+
